title,creation_date,medium,department,item_width,item_height,item_depth,classification,full_name,nationality,img_url,value
Keith Haring,1984,gelatin silver print,Contemporary Art,23.25,29.25,1.25,photographs,Robert Mapplethorpe,American,https://cmoa-collection-images.s3.amazonaws.com/thing/114327/1.jpg,1
Untitled,1964-1965,oil on canvas,Contemporary Art,60.5,48.25,2.25,paintings,Jo Baer,American,https://cmoa-collection-images.s3.amazonaws.com/thing/231867/2-web.jpg,1
Snuff bottle: Carved Glass,late 18th century,glass,Decorative Arts and Design,1.5,3.375,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1486/CMA-79-H.jpg,1
Snuff bottle: Carved Glass,late 19th century,glass,Decorative Arts and Design,2.0,2.75,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1453/CMA-77-H.jpg,1
Snuff bottle: Carved Glass,18th century,glass,Decorative Arts and Design,1.25,2.75,1.25,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1503/CMA-80-H.jpg,1
Two Cruet Bottles on Stand,c. 1851,rock crystal and gilded copper,Decorative Arts and Design,0.0,0.0,0.0,Glass,Augustus Welby Northmore Pugin|John Hardman & Co.,British|Scottish,https://cmoa-collection-images.s3.amazonaws.com/thing/11111/CMA-2002-20-1-a-c_1.jpg,1
Ewer,1864,silver and silver gilt,Decorative Arts and Design,7.0,11.75,4.5,Metals,Alfred Ivory,British,https://cmoa-collection-images.s3.amazonaws.com/thing/15884/34.jpg,1
Ewer,1868,silver and silver gilt,Decorative Arts and Design,6.75,11.875,4.5,Metals,Alfred Ivory,British,https://cmoa-collection-images.s3.amazonaws.com/thing/15884/34.jpg,1
Jug,c. 1870,terracotta with underglaze decoration,Decorative Arts and Design,5.25,8.75,5.438,Ceramics,Christopher Dresser|Watcombe Pottery,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/1584/CMA-2002-21-1-1.jpg,1
Jug,c. 1880,salt-glazed stoneware,Decorative Arts and Design,3.688,6.625,7.0,Ceramics,Christopher Dresser|W. Brownfield & Sons,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/1585/CMA-2002-21-1-2.jpg,1
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,5.062,7.75,7.062,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9434/CMA-2002-21-1-3-1.jpg,1
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,4.375,6.75,5.75,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9439/CMA-2002-21-1-3-2.jpg,1
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,3.938,6.5,5.375,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9445/CMA-2002-21-1-3-3.jpg,1
Vase,late 19th century,,Decorative Arts and Design,0.0,19.0,0.0,Ceramics,Christopher Dresser|Ault Pottery,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/20492/43.jpg,1
Hôtel de la Duchesse de Villars--rue des Saints-Pères,1901-1902,albumen print,Photography,7.0,8.5,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98597/44.jpg,1
Ancien Monastère des Bénédictins anglais--269 rue Saint-Jacques,1905,albumen print,Photography,7.0,8.75,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98599/46.jpg,1
Silver Goblet,c. 1774,"metalwork silver, sterling standard",Decorative Arts and Design,3.75,6.25,3.75,Metals,Charles Aldridge|Henry Green,English|English,https://cmoa-collection-images.s3.amazonaws.com/thing/5493/CMA-22-1-14.jpg,1
Table Knife,19th century,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",Decorative Arts and Design,1.0,9.25,0.75,Metals,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/6305/CMA-48-1-53-K.jpg,1
Table Knife,19th century,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",Decorative Arts and Design,1.0,9.25,0.75,Metals,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/6306/CMA-48-1-53-M.jpg,1
Green Jacket,1989,oil on canvas,Contemporary Art,48.0,71.5,2.0,paintings,Alex Katz,American,https://cmoa-collection-images.s3.amazonaws.com/thing/101353/57_9109.jpg,1
"Fontaine du Montreuil, faubourg Saint-Antoine (à l'angle de la rue de Charonne)",1904-1905,albumen print,Photography,7.0,8.625,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98593/58.jpg,1
Plymet cabinet,1945-1946,"cast and sheet aluminum, sheet steel, and birch veneer",Decorative Arts and Design,54.25,35.75,15.625,Metals,Clive Latimer|Heal & Son Ltd.,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/30844/59.jpg,1
Study for Autumn Foliage,1867,watercolor on paper,Fine Arts,19.25,14.25,0.0,drawings and watercolors,Henry Roderick Newman,American,https://cmoa-collection-images.s3.amazonaws.com/thing/85925/61.jpg,1
Paysage du Bassin d'Arcachon,c. 1930,pastel,Fine Arts,23.625,19.5,2.75,drawings and watercolors,André Lhote,French,https://cmoa-collection-images.s3.amazonaws.com/thing/65538/62.jpg,1
